Address,Latitude,Longitude,X,Y,Distance from center
"1 Rue des Gravilliers, 75003",48.863373260079825,2.3579820433991556,-426134.674999763,5489808.378198432,1500.0
"17 Boulevard du Temple, 75003",48.86426269789743,2.3659644708171634,-425534.674999763,5489808.378198432,2100.0
"46 Avenue de la République, 75011",48.865151594921294,2.3739472892737985,-424934.674999763,5489808.378198432,2700.0
NO ADDRESS,48.8660399510849,2.3819304985558323,-424334.674999763,5489808.378198432,3300.0
"84 Rue des Amandiers, 75020",48.866927766321744,2.3899140984499985,-423734.674999763,5489808.378198432,3900.0
"78Bis Rue Villiers de l'Isle-Adam, 75020",48.8678150405654,2.397898088742928,-423134.674999763,5489808.378198432,4500.0
"41 Rue Alphonse Penaud, 75020",48.868701773749436,2.4058824692211984,-422534.674999763,5489808.378198432,5100.0
"10 Rue Parmentier, Bagnolet, 93170",48.869587965807476,2.413867239671313,-421934.674999763,5489808.378198432,5700.0
"35 Boulevard Suchet, 75016",48.8576651334258,2.265036405034787,-433034.674999763,5490327.993440703,5424.9423960075455
NO ADDRESS,48.858560928485865,2.273015007794507,-432434.674999763,5490327.993440703,4828.043081829334
"14 Rue Eugène Manuel, 75116",48.859456183438574,2.280994004164657,-431834.674999763,5490327.993440703,4232.020793899776
"3 Avenue des Nations Unies, 75016",48.86035089821696,2.288973393932816,-431234.674999763,5490327.993440703,3637.306695894655
"45 Quai Branly, 75007",48.861245072754144,2.296953176886463,-430634.674999763,5490327.993440703,3044.667469527681
"73 Quai d'Orsay, 75007",48.86213870698326,2.304933352813017,-430034.674999763,5490327.993440703,2455.605831561754
"8 Port des Invalides, 75007",48.86303180083747,2.312913921499814,-429434.674999763,5490327.993440703,1873.4993995195443
NO ADDRESS,48.86392435424996,2.320894882734139,-428834.674999763,5490327.993440703,1307.6696830622377
"220 Rue de Rivoli, 75001",48.86481636715399,2.328876236303181,-428234.674999763,5490327.993440703,793.7253933194359
"41 Place Mireille, 75001",48.86570783948283,2.3368579819940725,-427634.674999763,5490327.993440703,519.6152422707528
"23 Rue Léopold Bellan, 75002",48.866598771169784,2.3448401195938535,-427034.674999763,5490327.993440703,793.7253933194359
"7 Passage du Ponceau, 75002",48.867489162148196,2.3528226488895263,-426434.674999763,5490327.993440703,1307.6696830622377
"40 Rue René Boulanger, 75010",48.86837901235141,2.360805569667987,-425834.674999763,5490327.993440703,1873.4993995195443
NO ADDRESS,48.86926832171288,2.368788881716077,-425234.674999763,5490327.993440703,2455.605831561754
"23 Rue de Vaucouleurs, 75011",48.870157090166025,2.3767725848205608,-424634.674999763,5490327.993440703,3044.667469527681
"3A Passage Julien Lacroix, 75020",48.87104531764433,2.38475667876813,-424034.674999763,5490327.993440703,3637.306695894655
"44 Rue de l'Ermitage, 75020",48.871933004081306,2.392741163345416,-423434.674999763,5490327.993440703,4232.020793899776
"28 Rue du Borrego, 75020",48.8728201494105,2.4007260383389553,-422834.674999763,5490327.993440703,4828.043081829334
"118 Boulevard Mortier, 75020",48.87370675356549,2.4087113035352337,-422234.674999763,5490327.993440703,5424.9423960075455
